course_id,course_url,source_category,source_category_zh,source_page,title,description,language,instructor_name,instructor_description,price,price_currency,availability,rating_value,review_count,duration_iso,duration_minutes,chapter_count,unit_count,assignment_count,student_count,tags,scraped_at,source_categories,source_categories_zh,category_count
6a54a33d9b84b9cff077cb44,https://hahow.in/courses/6a54a33d9b84b9cff077cb44,art,程式,,新媒體藝術全景課：11 週完成 8 件作品，打造你的個人創作流,想做出有趣的數位互動作品，卻不知道從哪開始？這堂課帶你走過從程式到展覽的完整創作路徑，11 週做出 8 件作品，用 AI 打造你的個人創作流！,zh-Hant,吳哲宇,"墨雨設計創辦人，紐約大學進修整合數位媒體碩士。互動設計師、藝術家、講師、全端工程師，引領超過 20,000 位學生進入互動網頁與生成藝術開發的大坑。",5980,TWD,InStock,,,PT27H30M,1650.0,,,,,視覺設計|TouchDesigner|吳哲宇|Creative Coding|MediaPipe|程式創作|互動藝術|定期更新型課程|AI 應用|p5.js,2026-09-06T14:58:39,art|design|programming,程式|藝術|設計,3
69128f12f81731df7cb4fbea,https://hahow.in/courses/69128f12f81731df7cb4fbea,career-skills,職場技能,,少數專門教「商業設計」的線上課【設計不加班】讓你的設計，全面補充商業腦,設計要升級，就要開始懂品牌、懂行銷、懂消費者！從「這樣做比較好看」，到「知道為什麼這樣做」，再進階到「這樣做才有效」。喬治為你準備了一套全年節慶檔商業設計系統：36個主題、24 支影片教學、72+個案例，外加12 場直播。從海報到社群貼文，應用到自己的品牌、商品、社群都用得到。不管你是設計師、自己做品牌，還是經營自媒體，這堂課都很適合你。,zh-Hant,喬治行不行,做了 25 年商業設計，喬治越來越相信，做設計不是靠靈感，而是靠判斷。 因為一張設計好不好，不只有美感，還要懂品牌、懂行銷，也要知道消費者在想什麼。 這些年，喬治持續學習色彩學、消費心理、品牌與自媒體，也經營了 6 萬+粉絲的 IG「喬治行不行」。 現在，這些專業與實務經驗，都成為《設計不加班》的教學內容。,5600,TWD,InStock,5.0,5.0,PT8H49M41S,529.68,12.0,41.0,2.0,90.0,提案設計|企劃|行銷概念|設計心法|設計提案|行銷提案|作品設計|促購行銷|定期更新型課程|喬治行不行,2026-09-06T14:56:10,career-skills|design|marketing,職場技能|行銷|設計,3
68357e54f8ded60b7d82428d,https://hahow.in/courses/68357e54f8ded60b7d82428d,career-skills,手作,,手作變現實戰｜把興趣變收入，從創作到品牌的商品化指南,很多人問：「為什麼我的技術很好，卻賣不掉？」答案往往不在作品本身，而在於你是否具備「商業變現能力」。 這堂課將直接切入核心：我們不走大而無當的路線，而是從低門檻、高質感的精緻小品開始「商品進化」。我們會教你如何拆解市場需求，將你的才藝轉化為具備「獲利邏輯」的藍圖。當你掌握了這套行銷公式，個人影響力將不再是空談，而是能實質變現的手作品牌。,zh-Hant,謝昀庭-Yunting_draw,184女人，昀想藝術工作室創辦人,5600,TWD,InStock,,,PT6H,360.0,,,,,個人品牌|謝昀庭|海浪手作|手作技能|環氧樹脂|興趣變現|企業接案|自主創業,2026-09-06T14:55:07,career-skills|handmade|marketing,手作|職場技能|行銷,3
5763a7ecf1399b0900e23f3a,https://hahow.in/courses/5763a7ecf1399b0900e23f3a,art,藝術,,Photoshop 最重要的基本課,喜歡攝影或影像創作的你，不能錯過的 Photoshop 初階課程。運用PS做影像處理與編修，無論你是想做平面設計、影像合成、照片去背或修圖，Photoshop 都能一次滿足你的影像處理需求！,zh-Hant,夏榮慶,我是夏榮慶，2003~2012任職於Adobe，曾任資深應用軟體工程師、業務發展經理、技術顧問，負責Adobe軟體推廣及銷售，曾在新加坡、北京、上海及台灣的Adobe研討會擔任主講人，超過300場次。 1999年一天內同時取得Photoshop 5、Illustrator 8 ACE (Adobe Certificate Expert) 最高認證，2002年台灣第一位取得Acrobat 5 ACE認證。在台灣分公司服務將近十年，推廣Adobe軟體技術給台灣用戶。 親身參與Adobe轉型之路，並有第一手的觀察及獨特觀點。 Youtube頻道- https://www.youtube.com/user/jimmyh519,1000,TWD,InStock,4.77,31.0,PT3H44M51S,224.85,1.0,18.0,1.0,490.0,photoshop|行銷學習地圖,2026-09-06T18:35:56,art|design,藝術|設計,2
56e2a43b4e3ef90900b7d6cd,https://hahow.in/courses/56e2a43b4e3ef90900b7d6cd,art,藝術,,Photoshop練功坊 -入門操作到進階合成,Photoshop 入門課程，從基礎到進階，學習 PS 介面與功能操作，從理解平面設計的色彩、造型原理，到濾鏡與圖層等工具的使用方式，完整掌握 Photoshop 的操作模式，完成自己專屬的設計作品。,zh-Hant,林協霆,血液腫瘤內科專研醫師，現任職於和信治癌中心醫院,1500,TWD,InStock,4.97,159.0,PT17H10M51S,1030.85,1.0,111.0,1.0,4057.0,photoshop|行銷學習地圖,2026-09-06T14:00:43,art|design,藝術|設計,2
65d6e3d9b4fc68c33455d00a,https://hahow.in/courses/65d6e3d9b4fc68c33455d00a,art,藝術,,原創角色設計全攻略｜從風格定位到 IP 經營,課程整理了柴柴與阿米多年來累積經營圖文 IP 的經驗，希望讓同樣懷有圖文創作者夢想的你們，知道該如何有策略性的創作角色，找到自己強項發掘市場定位，並從中了解成功圖像 IP 化後所帶來的龐大商機。,zh-Hant,棉花糖柴柴與廢貓阿米,喜歡深潛於圖文市場 暗中觀察不同作者的經營模式 與崛起的新人,3200,TWD,InStock,5.0,11.0,PT4H16M57S,256.95,7.0,24.0,2.0,517.0,插畫設計|IP商品化|應用設計|繪畫|LINE 貼圖設計|IP角色創作|設計理論|Procreate|文創物|電繪,2026-09-06T14:49:40,art|design,藝術|設計,2
5b26587f67ff51001e25cf0a,https://hahow.in/courses/5b26587f67ff51001e25cf0a,art,藝術,,實用Photoshop - 入門到大師，紮實範例,Photoshop 軟體入門課，帶你扎實的從基礎到進階學好 Photoshop。課程將從 PS 軟體操作開始教起，熟悉重要工具與觀念，接著會從實際範例分享，帶你掌握人物編修、場景編修、風格特效製作等技巧與合成概念，你也可以用 Photoshop 創作專屬作品。,zh-Hant,timmo,"工作經歷： 在美國紐約，洛杉磯，加拿大蒙特利，廣告，影集，電影後製公司工作過，遠距過西班牙廣告公司接案。 參與的電影有: 地平線-美國傳奇 (Horizon 2024)，終極戰士:狩獵者 (Prey 2022)，極地守護犬 (The Call of the Wild 2020)，阿特米斯奇幻歷險(Artemis Fowl2020)，X 戰警( Dark Phoenix 2019)，胡桃夾子(The Nutcracker and the Four Realms 2018) 與銀河守護隊2(Guardians of The Galaxy 2, 2017)。 電視劇: 海賊王(One Piece 2023)，驚嚇陰屍路 (Fear The Walking Dead: World Beyond 2023)，唱片啟示錄 (Vinyl 2016)， 毒梟(Narco 2015) …等 廣告: Google, Mercedes-Benz…等",2046,TWD,InStock,4.95,331.0,,,0.0,0.0,0.0,6569.0,熱銷興趣85折|photoshop|行銷學習地圖,2026-09-06T14:08:57,art|design,藝術|設計,2
6a4cb93020247c2304ed1b6a,https://hahow.in/courses/6a4cb93020247c2304ed1b6a,art,藝術,,手繪感的動態魔法：用 Procreate Dreams 畫出可愛小動畫,零基礎也能開始動畫創作。將旅行風景、日常照片與插畫作品變成生動的小動畫，透過 Procreate Dreams 一步步學習動畫觀念、角色動態與運鏡技巧，完成屬於自己的動畫作品！,zh-Hant,YUANCHi,我是插畫家 YUANCHi，喜歡透過創作記錄生活中的美好，最喜歡畫貓貓！,6880,TWD,InStock,,,PT7H,420.0,,,,,2D 動畫|手繪動畫|日常創作|Procreate Dreams,2026-09-06T14:58:32,art|design,藝術|設計,2
54d5d9952246e60a009ec571,https://hahow.in/courses/54d5d9952246e60a009ec571,art,藝術,,數位拼貼的手感,拼貼是視覺設計的表現方法之一，可應用在海報、書籍、喜帖、筆記本等各式平面設計。課堂中，會教你如何用手繪呈現出照片上的物件，並將素材數位化，以及不同種Photoshop去背方式，並透過PS的工具效果，依序完成拼貼的背景、畫面主題與細節等視覺形態，讓作品融合多種且有創意的風格。,zh-Hant,"Li -Ying, Wen 溫力穎",自由工作者，致力於品牌視覺規劃，包含識別系統設計、平面設計、包裝設計、網頁、插畫製作等。,300,TWD,InStock,4.59,17.0,PT56M49S,56.82,1.0,6.0,1.0,163.0,photoshop,2026-09-06T13:56:07,art|design,藝術|設計,2
610a450c6d95bf0007cee03e,https://hahow.in/courses/610a450c6d95bf0007cee03e,art,藝術,,用數位繪景打造電影級場景 – DMP 基礎合成,曾參與《蜘蛛人：無家日》、《永恆族》、《怪奇物語 4》和《捍衛任務 4》等後製的 Sean 將分享在好萊塢業界工作的數位繪景技巧。從自學 3D 軟體到擁有豐富的業界實戰經驗，Sean 將以過來人的角度，帶領你了解電影特效中製作大場景的 Digital Matte Painting（DMP）實用基礎。並透過各單元的小練習，為你扎下穩健的根基，合成出屬於自己的電影級場景。,zh-Hant,Sean Tseng,曾參與《蜘蛛人：無家日》、《永恆族》、《怪奇物語 4》和《捍衛任務 4》等多部好萊塢電影和影集後製。,2980,TWD,InStock,5.0,15.0,PT14H22M,862.0,4.0,65.0,6.0,396.0,更多應用設計|更多平面設計工具|色彩學|場景設計|photoshop|素描|手繪,2026-09-06T14:30:20,art|design,藝術|設計,2
